Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
31/12/2012,IQ337183,0.002238888,0.145975,12.64473494,0,0.740328991,3.938755987,NaN,1.076660262,106.7775,-0.430422325,0.389832517,5.08098213,-94.8512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-,AA+
31/03/2013,IQ337183,0.000265556,0.145675,12.60774335,0,0.755289362,4.853722818,NaN,1.172467251,15.5451,-0.118602766,0.39614298,5.603825899,-25.5208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-,AA+
30/06/2013,IQ337183,0.01232365,0.229915,7.031629119,0,0.765875101,8.693027712,NaN,1.363846852,3.759,-0.074316718,0.455188766,6.013744273,-32.3044,0.005236625,0.179768,10.04866345,0.010146462,0.736721115,5.86730986,2.896196849,1.202901545,33.0562,-0.175838775,0.412267217,5.190623048,-43.0792,B-,AA+
30/09/2013,IQ337183,0.008329183,0.212867,7.889833636,0.038756435,0.758697215,7.696896233,3.134210559,0.859057539,-3.3746,0.013737198,0.432944417,6.02207727,-9.0812,0.005789319,0.183608,10.04348526,0.009689109,0.755047667,6.295600687,3.134210559,1.118007976,30.67675,-0.152401153,0.41852717,5.680157393,-40.4394,B-,AA+
31/12/2013,IQ337183,0.003452907,0.159393,12.28195351,0.175879285,0.775657097,5.320939141,0.450228135,0.394657823,52.2448,-0.096170324,0.385343332,6.491601981,-22.2072,0.006092824,0.1869625,9.952789904,0.05365893,0.763879694,6.641146476,1.792219347,0.947507366,17.043575,-0.068838152,0.417404874,6.032812356,-22.2784,B-,AA+
31/03/2014,IQ337183,0.002435351,0.156789,11.25600713,0.161849609,0.767628221,5.476285834,0.524313611,0.464986424,12.176,-0.066750153,0.415468525,6.203289623,-17.9616,0.006635273,0.189741,9.614855848,0.094121332,0.766964409,6.79678723,1.369584102,0.770637159,16.2013,-0.055874999,0.42223626,6.182678287,-20.3886,B-,AA+
30/06/2014,IQ337183,0.016240843,0.240901,6.081851517,0.145074902,0.760048114,10.18845459,1.089948713,0.514088378,10.3371,0.092412444,0.498885442,5.9226031,28.1148,0.007614571,0.1924875,9.377411447,0.130390058,0.765507662,7.170643949,1.299675255,0.558197541,17.845825,-0.014192709,0.433160429,6.159892994,-5.2838,B-,AA+
30/09/2014,IQ337183,0.01195446,0.230645,7.183577593,0.000748623,0.750779533,9.755218411,179.057275,1.017175062,11.1124,0.30724014,0.436338484,5.590098554,78.9448,0.00852089,0.196932,9.200847437,0.120888105,0.763528241,7.685224494,45.28044137,0.597726921,21.467575,0.059183027,0.434008946,6.051898314,16.7227,B-,AA+
31/12/2014,IQ337183,0.006057991,0.201008,9.300138871,0.001554985,0.75350342,8.525341004,67.0929817,1.033679602,37.0815,0.049786905,0.391088718,5.490746393,11.0232,0.009172161,0.20733575,8.455393777,0.07730703,0.757989822,8.48632496,61.94112976,0.757482366,17.67675,0.095672334,0.435445292,5.801684417,25.0303,B-,AA+
31/03/2015,IQ337183,0.007214267,0.198896,8.720509872,0.001226482,0.75306238,8.582832715,89.92704916,0.93946624,22.0441,0.031700558,0.417596058,5.569187209,12.398,0.01036689,0.2178625,7.821519463,0.037151248,0.754348362,9.26296168,84.29181365,0.87610232,20.143775,0.120285012,0.435977175,5.643158814,32.6202,B-,AA+
